000000000000000121000010227,-1.001,0.892,1.711,0,0,2017/12/01 19:17:09,10:17:09.8131820,0.03
000000000000000121000010227,-0.922,0.976,1.753,0,0,2017/12/01 19:17:09,10:17:09.9212980,0.053
000000000000000121000010227,-0.969,1.21,1.77,0,0,2017/12/01 19:17:10,10:17:10.0294140,0.055
000000000000000121000010227,-1.157,1.094,1.68,0,0,2017/12/01 19:17:10,10:17:10.1375300,0.075
000000000000000121000010227,-0.955,1.253,1.726,0,0,2017/12/01 19:17:10,10:17:10.2456460,0.091
000000000000000121000010227,-1.062,1.391,1.684,0,0,2017/12/01 19:17:10,10:17:10.7862260,0.003
000000000000000121000010227,-1.065,1.496,1.656,0,0,2017/12/01 19:17:10,10:17:10.8943420,0.093
000000000000000121000010227,-1.093,1.57,1.623,0,0,2017/12/01 19:17:11,10:17:11.0024580,0.064
000000000000000121000010227,-1.041,1.532,1.6,0,0,2017/12/01 19:17:11,10:17:11.1105740,0.111
000000000000000121000010227,-1.023,1.626,1.698,0,0,2017/12/01 19:17:11,10:17:11.3268060,0.049
000000000000000121000010227,-1.104,1.767,1.703,0,0,2017/12/01 19:17:11,10:17:11.4349220,0.079
000000000000000121000010227,-1.064,1.822,1.648,0,0,2017/12/01 19:17:11,10:17:11.5430380,0.03
000000000000000121000010227,-1.03,2.229,1.493,0,0,2017/12/01 19:17:12,10:17:12.6241980,0.021
000000000000000121000010227,-1.11,2.531,1.672,0,0,2017/12/01 19:17:12,10:17:12.8404300,0.001
000000000000000121000010227,-1.132,2.587,1.733,0,0,2017/12/01 19:17:12,10:17:12.9485460,0.022
000000000000000121000010227,-1.169,2.613,1.722,0,0,2017/12/01 19:17:13,10:17:13.0566620,0.008
000000000000000121000010227,-1.215,2.617,1.75,0,0,2017/12/01 19:17:13,10:17:13.1647780,0.007
000000000000000121000010227,-1.174,2.732,1.719,0,0,2017/12/01 19:17:13,10:17:13.2728940,0.015
